[2025-05-13 17:34:11] INFO | 开始下载 ['BTCUSDT'] ['1h'] 2017-08-01 ▶ 2025-04-30
[2025-05-13 17:36:13] INFO | ✅ 数据下载完成
[2025-05-13 17:44:03] INFO | 开始下载 ['BTCUSDT'] ['1h'] 2017-08-01 ▶ 2025-04-30
[2025-05-13 17:44:04] INFO | ✅ 数据下载完成
[2025-05-13 17:51:52] INFO | 开始下载 ['BTCUSDT'] ['1h'] 2017-08-01 ▶ 2025-04-30
[2025-05-13 17:51:53] INFO | ✅ 数据下载完成
[2025-05-13 17:53:37] INFO | 开始下载 ['BTCUSDT'] ['1h'] 2017-08-01 ▶ 2025-04-30
[2025-05-13 17:53:38] INFO | ✅ 数据下载完成
[2025-05-13 17:57:32] INFO | 开始下载 ['BTCUSDT'] ['1h'] 2017-08-01 ▶ 2025-04-30
[2025-05-13 17:57:32] INFO | ✅ 数据下载完成
[2025-05-13 17:59:27] INFO | 开始下载 ['BTCUSDT'] ['1h'] 2017-08-01 ▶ 2025-04-30
[2025-05-13 17:59:27] INFO | ✅ 数据下载完成
[2025-05-13 18:03:34] INFO | 开始下载 ['BTCUSDT'] ['1h'] 2017-08-01 ▶ 2025-04-30
[2025-05-13 18:03:34] INFO | ✅ 数据下载完成
[2025-05-13 18:04:55] INFO | 开始下载 ['BTCUSDT'] ['1h'] 2017-08-01 ▶ 2025-04-30
[2025-05-13 18:04:55] INFO | ✅ 数据下载完成
[2025-05-13 18:07:17] INFO | 开始下载 ['BTCUSDT'] ['1h'] 2017-08-01 ▶ 2025-04-30
[2025-05-13 18:07:17] INFO | ✅ 数据下载完成
[2025-05-13 18:09:15] INFO | 开始下载 ['BTCUSDT'] ['1h'] 2017-08-01 ▶ 2025-04-30
[2025-05-13 18:09:15] INFO | ✅ 数据下载完成
[2025-05-13 18:10:11] INFO | 开始下载 ['BTCUSDT'] ['1h'] 2017-08-01 ▶ 2025-04-30
[2025-05-13 18:10:11] INFO | ✅ 数据下载完成
[2025-05-13 18:13:38] INFO | 开始下载 ['BTCUSDT'] ['1h'] 2017-08-01 ▶ 2025-04-30
[2025-05-13 18:13:38] INFO | ✅ 数据下载完成
[2025-05-13 18:16:35] INFO | 开始下载 ['BTCUSDT'] ['1h'] 2017-08-01 ▶ 2025-04-30
[2025-05-13 18:16:35] INFO | ✅ 数据下载完成
[2025-05-13 18:21:07] INFO | 开始下载 ['BTCUSDT'] ['1h'] 2017-08-01 ▶ 2025-04-30
[2025-05-13 18:21:07] INFO | ✅ 数据下载完成
[2025-05-13 18:25:21] INFO | 开始下载 ['BTCUSDT'] ['1h'] 2017-08-01 ▶ 2025-04-30
[2025-05-13 18:25:21] INFO | ✅ 数据下载完成
[2025-05-13 18:26:14] INFO | 开始下载 ['BTCUSDT'] ['1h'] 2017-08-01 ▶ 2025-04-30
[2025-05-13 18:26:14] INFO | ✅ 数据下载完成
[2025-05-13 18:30:10] INFO | 开始下载 ['BTCUSDT'] ['1h'] 2017-08-01 ▶ 2025-04-30
[2025-05-13 18:30:10] INFO | ✅ 数据下载完成
