[2025-05-14 08:56:45] INFO | 💾 载入模型: ppo_btc_latest_20250513_1838.zip
[2025-05-14 08:56:53] INFO | 📈 Total reward : 0.00
[2025-05-14 08:56:53] INFO | 💰 Final equity : 10000.00
[2025-05-14 08:56:53] INFO | ✅ 评估完成
[2025-05-14 10:40:03] INFO | 💾 载入模型: ppo_btc_latest_20250514_1006.zip
[2025-05-14 10:40:10] INFO | 📈 Total reward : 0.00
[2025-05-14 10:40:10] INFO | 💰 Final equity : 10000.00
[2025-05-14 10:40:10] INFO | ✅ 评估完成
[2025-05-14 10:50:36] INFO | 💾 载入模型: ppo_btc_latest_20250514_1042.zip
[2025-05-14 10:50:43] INFO | 📈 Total reward : 0.00
[2025-05-14 10:50:43] INFO | 💰 Final equity : 10000.00
[2025-05-14 10:50:43] INFO | ✅ 评估完成
[2025-05-14 10:55:41] INFO | 💾 载入模型: ppo_btc_latest_20250514_1042.zip
[2025-05-14 10:55:48] INFO | 📈 Total reward : 0.00
[2025-05-14 10:55:48] INFO | 💰 Final equity : 10000.00
[2025-05-14 10:55:48] INFO | ✅ 评估完成
